'No index'
'k,time(s)'
'1,7.699'
'5,9.229'
'10,10.931'
'20,13.341'
'30,15.497'
'50,32.259'
'100,66.691'
'500,157.299'
'1000,162.451'
'R-tree index'
'k,time(s)'
'1,2.838'
'5,2.518'
'10,2.909'
'20,3.775'
'30,4.71'
'50,12.77'
'100,31.714'
'500,78.227'
'1000,181.606'
